firstname
Феодосія
Олена
Іван
Василь
Панкрат
Крній
Федір
Антон
Григорій
Мар'ян
Миколаа
Михайло
Петро
Тадеуш
Франц
Платон
Дмитро
Юрій
Гаврило
Андрій
Борис
Валентин
Микола
Мойсей
Наркис
Олександр
Семен
Тимофій
Любов
Ілля
Юхим
Йосип
Феофіл
Олексій
Яків
Матвій
Степан
Дмитрго
Павло
Спиридон
Тарас
Мефодій
Влас
Гнат
Данило
Домна
Євгеній
Леонтій
Митрофан
Онисій
Мелентій
Клим
Ксенофонт
Марфа
Никифір
Пантелеймон
Тихін
Кирило
Трохим
Онуфрій
Станіслав
Георгій
Карпо
Стефан
Якуб
ВАйцех
Сава
Марія
Гриогорій
Ян
Володимир
Генріх
Роман
Срегій
Євген
Олександра
Ганна
Олімпіада
Петрунемія
Лідія
Вікентій
Вукол
Дем'ян
Денис
Микита
Порфирій
Кузьма
Лаврентій
Ольга
Омелян
Федот
Корній
Віктор
Нестор
Пилип
Шмель
Родіон
Костянтин
Сидір
Харитина
Ізраїль
Евтим
Нухим
Хайм
Арефа
Опанас
Пестина
Сергій
Созон
Хома
Валентина
Лаврін
Мартин
Мифодій
Веніамін
Ніна
Трифон
Поліна
Антоніна
Арсен
Филимон
Катерина
Броніслав
Владислав
Кароль
Шліма
Іхіль
Ісак
Говшій
Євгенія
Лазар
Онисим
Юлія
Оганес
Лука
Шмуль
Фелікс
Амвросій
Фроім
Арон
Бузя
Меер
ІларІй
Полікарп
Аполлінарій
Едуард
Боніфат
Казимир
Юлій
Отто
Дувид
Альбін
Валеріан
Тетяна
Ірина
Вікентй
Зіновій
Єфрем
Луціан
Евлампій
Аркадій
Кесар
Софрон
Никифор
Орест
Карл
Гива
Макар
Остап
Бартко
Аврам
Мирон
Марцелій
Мартьян
Феодосій
Веремій
Нестір
Яким
Аза
Дементій
Леонід
Гедаль
Максим
Захар
В'ячеслав
Мечислав
Елизавета
Войтко
Євдоким
Марко
Марцин
Олег
Король
Домнікія
Віталій
Адольф
Фадей
Євдокія
Рейн
Афанасій
Наум
Гордій
Арефій
Евгеній
Харитон
Іларіон
Прокіп
Менахим
Анатолій
Іполит
Архип
Макарій
Микла
Овксентій
Пистина
Юстим
Франк
Евтихій
Дорофій
Ярема
Евген
Анастасія
Доменик
Ісул
Олексаандр
Горпина
Антін
Стах
Олександрович
Ксенія
Гервасій
Логвин
Хрисанф
Валерій
Алоізій
Матеуш
Моісей
Михайлович
Кіндрат
Арсентій
Ева
Людвіг
Наталія
Устина
